Country,Year,Sampling Point Id,Air Quality Station EoI Code,Longitude,Latitude,Altitude,Air Quality Station Area,Air Quality Station Type,AirQualityStation
Slovakia,2024.0,SPO-SK0269A_00001_100,SK0269A,18.07683,48.30946,143.0,urban,traffic,STA-SK0269A
Slovakia,2024.0,SPO-SK0407A_00001_100,SK0407A,17.01898,48.43688,197.0,urban,traffic,STA-SK0407A
Slovakia,2024.0,SPO-SK0041A_00005_100,SK0041A,20.32281,49.03466,694.0,rural,background,STA-SK0041A
Slovakia,2024.0,SPO-SK0004R_00005_100,SK0004R,20.28949,49.15141,808.0,rural,background,STA-SK0004R
Slovakia,2024.0,SPO-SK0006R_00007_100,SK0006R,22.26,49.04278,345.0,rural,background,STA-SK0006R
Slovakia,2024.0,SPO-SK0007R_00001_100,SK0007R,17.86014,47.95945,113.0,rural,background,STA-SK0007R
Türkiye,2023.0,SPO-TR100241_0001,TR100241,27.97496,40.34795,38.0,urban,background,STA-TR100241
Türkiye,2023.0,SPO-TR100313_0001,TR100313,27.97861,40.48972,61.0,rural,background,STA-TR100313
Türkiye,2023.0,SPO-TR100411_0001,TR100411,27.00396,39.59962,24.0,urban,background,STA-TR100411
Türkiye,2023.0,SPO-TR100531_0001,TR100531,27.89047,39.64867,132.0,urban,traffic,STA-TR100531
Türkiye,2023.0,SPO-TR110241_0001,TR110241,30.05295,39.90395,755.0,urban,background,STA-TR110241
Türkiye,2023.0,SPO-TR140441_0001,TR140441,31.60489,40.72622,715.0,urban,background,STA-TR140441
Türkiye,2023.0,SPO-TR160231_0001,TR160231,29.08049,40.18565,189.0,urban,traffic,STA-TR160231
Türkiye,2023.0,SPO-TR160341_0001,TR160341,29.50024,40.08089,289.0,urban,background,STA-TR160341
Türkiye,2023.0,SPO-TR160421_0001,TR160421,29.2054,40.19542,131.0,urban,industrial,STA-TR160421
Türkiye,2023.0,SPO-TR160512_0001,TR160512,29.04588,40.19572,143.0,suburban,background,STA-TR160512
Türkiye,2023.0,SPO-TR160613_0001,TR160613,28.87154,40.22337,87.0,rural,background,STA-TR160613
Türkiye,2023.0,SPO-TR170221_0001,TR170221,27.0498,40.02925,82.0,urban,industrial,STA-TR170221
Türkiye,2023.0,SPO-TR170313_0001,TR170313,26.77063,40.40307,12.0,rural,background,STA-TR170313
Türkiye,2023.0,SPO-TR220213_0001,TR220213,26.53732,41.65914,36.0,urban,background,STA-TR220213
Türkiye,2023.0,SPO-TR220341_0001,TR220341,26.63529,40.85121,133.0,urban,background,STA-TR220341
Türkiye,2023.0,SPO-TR260441_0001,TR260441,30.56396,39.75777,803.0,urban,background,STA-TR260441
Türkiye,2023.0,SPO-TR340141_0001,TR340141,28.78986,41.09552,142.0,urban,background,STA-TR340141
Türkiye,2023.0,SPO-TR340241_0001,TR340241,28.66955,41.02028,36.0,urban,background,STA-TR340241
Türkiye,2023.0,SPO-TR340341_0001,TR340341,28.97478,41.09233,91.0,urban,background,STA-TR340341
Türkiye,2023.0,SPO-TR340411_0001,TR340411,29.05899,41.0746,9.0,rural,background,STA-TR340411
Türkiye,2023.0,SPO-TR340531_0001,TR340531,28.99446,41.06596,120.0,urban,traffic,STA-TR340531
Türkiye,2023.0,SPO-TR340611_0001,TR340611,28.25554,41.07318,35.0,urban,background,STA-TR340611
Türkiye,2023.0,SPO-TR340741_0001,TR340741,29.26881,40.98447,128.0,urban,background,STA-TR340741
Türkiye,2023.0,SPO-TR340841_0001,TR340841,28.87202,41.10197,128.0,urban,background,STA-TR340841
Türkiye,2023.0,SPO-TR340913_0001,TR340913,29.56336,41.17046,68.0,rural,background,STA-TR340913
Türkiye,2023.0,SPO-TR341031_0001,TR341031,28.83866,41.00245,33.0,urban,traffic,STA-TR341031
Türkiye,2023.0,SPO-TR341131_0001,TR341131,29.09973,41.02442,151.0,urban,traffic,STA-TR341131
Türkiye,2023.0,SPO-TR341231_0001,TR341231,29.02489,41.02705,44.0,urban,traffic,STA-TR341231
Türkiye,2023.0,SPO-TR342141_0001,TR342141,28.98277,41.08773,11.0,urban,background,STA-TR342141
Türkiye,2023.0,SPO-TR350213_0001,TR350213,26.83285,38.20344,35.0,rural,background,STA-TR350213
Türkiye,2023.0,SPO-TR390213_0001,TR390213,27.7775,41.56345,149.0,rural,background,STA-TR390213
Türkiye,2023.0,SPO-TR390313_0001,TR390313,28.05599,41.88515,28.0,rural,background,STA-TR390313
Türkiye,2023.0,SPO-TR390441_0001,TR390441,27.34588,41.39841,56.0,urban,background,STA-TR390441
Türkiye,2023.0,SPO-TR410641_0001,TR410641,30.0077,40.77101,8.0,urban,background,STA-TR410641
Türkiye,2023.0,SPO-TR410741_0001,TR410741,29.79463,40.72597,3.0,urban,background,STA-TR410741
Türkiye,2023.0,SPO-TR410831_0001,TR410831,29.93812,40.76811,17.0,urban,traffic,STA-TR410831
Türkiye,2023.0,SPO-TR410913_0001,TR410913,30.00658,41.13075,33.0,rural,background,STA-TR410913
Türkiye,2023.0,SPO-TR411021_0001,TR411021,29.7888,40.74604,4.0,urban,industrial,STA-TR411021
Türkiye,2023.0,SPO-TR411122_0001,TR411122,29.88448,40.70417,25.0,urban,industrial,STA-TR411122
Türkiye,2023.0,SPO-TR540231_0001,TR540231,30.4099,40.7693,32.0,urban,traffic,STA-TR540231
Türkiye,2023.0,SPO-TR540331_0001,TR540331,30.39692,40.79072,32.0,urban,traffic,STA-TR540331
Türkiye,2023.0,SPO-TR540422_0001,TR540422,30.65023,40.75497,29.0,suburban,industrial,STA-TR540422
Türkiye,2023.0,SPO-TR590231_0001,TR590231,27.50324,40.97727,41.0,urban,traffic,STA-TR590231
Türkiye,2023.0,SPO-TR590341_0001,TR590341,27.98018,41.31835,199.0,urban,background,STA-TR590341
